"","year","month","value","units","date"
"207",1998,4,252.535714208614,"Terawatthours",1998.25
"208",1998,3,277.330504405029,"Terawatthours",1998.16666666667
"209",1998,2,251.91731737148,"Terawatthours",1998.08333333333
"210",1998,1,285.433947224695,"Terawatthours",1998
"211",1997,12,286.493174854609,"Terawatthours",1997.91666666667
"212",1997,11,262.0977402905,"Terawatthours",1997.83333333333
"213",1997,10,275.486622576639,"Terawatthours",1997.75
"214",1997,9,291.037311685349,"Terawatthours",1997.66666666667
"215",1997,8,321.81954877564,"Terawatthours",1997.58333333333
"216",1997,7,333.050725062711,"Terawatthours",1997.5
"217",1997,6,289.137600847507,"Terawatthours",1997.41666666667
"218",1997,5,263.831036191747,"Terawatthours",1997.33333333333
"219",1997,4,249.688607769248,"Terawatthours",1997.25
"220",1997,3,263.197297518454,"Terawatthours",1997.16666666667
"221",1997,2,249.54026178411,"Terawatthours",1997.08333333333
"222",1997,1,290.570607615759,"Terawatthours",1997
"223",1996,12,274.789602454388,"Terawatthours",1996.91666666667
"224",1996,11,260.165480011984,"Terawatthours",1996.83333333333
"225",1996,10,262.412579516502,"Terawatthours",1996.75
"226",1996,9,273.727806251148,"Terawatthours",1996.66666666667
"227",1996,8,318.327468450641,"Terawatthours",1996.58333333333
"228",1996,7,316.802112915871,"Terawatthours",1996.5
"229",1996,6,292.642285259452,"Terawatthours",1996.41666666667
"230",1996,5,272.872405596857,"Terawatthours",1996.33333333333
"231",1996,4,243.239036155365,"Terawatthours",1996.25
"232",1996,3,265.866207612448,"Terawatthours",1996.16666666667
"233",1996,2,261.676667307891,"Terawatthours",1996.08333333333
"234",1996,1,287.041182922088,"Terawatthours",1996
"235",1995,12,276.050464540429,"Terawatthours",1995.91666666667
"236",1995,11,252.776229150468,"Terawatthours",1995.83333333333
"237",1995,10,255.193067172723,"Terawatthours",1995.75
"238",1995,9,268.337470000934,"Terawatthours",1995.66666666667
"239",1995,8,334.27229484058,"Terawatthours",1995.58333333333
"240",1995,7,319.419634142408,"Terawatthours",1995.5
"241",1995,6,276.731279546138,"Terawatthours",1995.41666666667
"242",1995,5,255.492558762249,"Terawatthours",1995.33333333333
"243",1995,4,236.590953555591,"Terawatthours",1995.25
"244",1995,3,252.644912893483,"Terawatthours",1995.16666666667
"245",1995,2,243.910204268633,"Terawatthours",1995.08333333333
"246",1995,1,270.46207166242,"Terawatthours",1995
"247",1994,12,260.549977167808,"Terawatthours",1994.91666666667
"248",1994,11,243.486006849069,"Terawatthours",1994.83333333333
"249",1994,10,247.991056316141,"Terawatthours",1994.75
"250",1994,9,257.400944939581,"Terawatthours",1994.66666666667
"251",1994,8,297.367304948652,"Terawatthours",1994.58333333333
"252",1994,7,300.897995077959,"Terawatthours",1994.5
"253",1994,6,284.37188807379,"Terawatthours",1994.41666666667
"254",1994,5,244.333421434771,"Terawatthours",1994.33333333333
"255",1994,4,232.628040302637,"Terawatthours",1994.25
"256",1994,3,249.41171034448,"Terawatthours",1994.16666666667
"257",1994,2,240.879675399063,"Terawatthours",1994.08333333333
"258",1994,1,280.124726462096,"Terawatthours",1994
"259",1993,12,263.10675748385,"Terawatthours",1993.91666666667
"260",1993,11,243.712016167006,"Terawatthours",1993.83333333333
