"","series_id","units","value","date","year","month","change_first_order","change_second_order"
"76","TOTAL.OGNRPUS.M","Number of Rigs",1943,1979-04-01,1979,4,-0.0142,-0.685144124168514
"77","TOTAL.OGNRPUS.M","Number of Rigs",1960,1979-05-01,1979,5,0.0087,-1.61267605633803
"78","TOTAL.OGNRPUS.M","Number of Rigs",1999,1979-06-01,1979,6,0.0199,1.28735632183908
"79","TOTAL.OGNRPUS.M","Number of Rigs",2094,1979-07-01,1979,7,0.0475,1.38693467336683
"80","TOTAL.OGNRPUS.M","Number of Rigs",2222,1979-08-01,1979,8,0.0611,0.286315789473684
"81","TOTAL.OGNRPUS.M","Number of Rigs",2284,1979-09-01,1979,9,0.0279,-0.543371522094926
"82","TOTAL.OGNRPUS.M","Number of Rigs",2380,1979-10-01,1979,10,0.042,0.505376344086022
"83","TOTAL.OGNRPUS.M","Number of Rigs",2460,1979-11-01,1979,11,0.0336,-0.2
"84","TOTAL.OGNRPUS.M","Number of Rigs",2552,1979-12-01,1979,12,0.0374,0.113095238095238
"85","TOTAL.OGNRPUS.M","Number of Rigs",2571,1980-01-01,1980,1,0.0074,-0.802139037433155
"86","TOTAL.OGNRPUS.M","Number of Rigs",2613,1980-02-01,1980,2,0.0163,1.2027027027027
"87","TOTAL.OGNRPUS.M","Number of Rigs",2658,1980-03-01,1980,3,0.0172,0.0552147239263805
"88","TOTAL.OGNRPUS.M","Number of Rigs",2683,1980-04-01,1980,4,0.0094,-0.453488372093023
"89","TOTAL.OGNRPUS.M","Number of Rigs",2797,1980-05-01,1980,5,0.0425,3.52127659574468
"90","TOTAL.OGNRPUS.M","Number of Rigs",2850,1980-06-01,1980,6,0.0189,-0.555294117647059
"91","TOTAL.OGNRPUS.M","Number of Rigs",2953,1980-07-01,1980,7,0.0361,0.91005291005291
"92","TOTAL.OGNRPUS.M","Number of Rigs",3045,1980-08-01,1980,8,0.0312,-0.135734072022161
"93","TOTAL.OGNRPUS.M","Number of Rigs",3099,1980-09-01,1980,9,0.0177,-0.432692307692308
"94","TOTAL.OGNRPUS.M","Number of Rigs",3149,1980-10-01,1980,10,0.0161,-0.0903954802259887
"95","TOTAL.OGNRPUS.M","Number of Rigs",3220,1980-11-01,1980,11,0.0225,0.397515527950311
"96","TOTAL.OGNRPUS.M","Number of Rigs",3286,1980-12-01,1980,12,0.0205,-0.0888888888888888
"97","TOTAL.OGNRPUS.M","Number of Rigs",3386,1981-01-01,1981,1,0.0304,0.482926829268293
"98","TOTAL.OGNRPUS.M","Number of Rigs",3502,1981-02-01,1981,2,0.0343,0.12828947368421
"99","TOTAL.OGNRPUS.M","Number of Rigs",3595,1981-03-01,1981,3,0.0266,-0.224489795918367
"100","TOTAL.OGNRPUS.M","Number of Rigs",3728,1981-04-01,1981,4,0.037,0.390977443609023
"101","TOTAL.OGNRPUS.M","Number of Rigs",3817,1981-05-01,1981,5,0.0239,-0.354054054054054
"102","TOTAL.OGNRPUS.M","Number of Rigs",3926,1981-06-01,1981,6,0.0286,0.196652719665272
"103","TOTAL.OGNRPUS.M","Number of Rigs",3998,1981-07-01,1981,7,0.0183,-0.36013986013986
"104","TOTAL.OGNRPUS.M","Number of Rigs",4131,1981-08-01,1981,8,0.0333,0.819672131147541
"105","TOTAL.OGNRPUS.M","Number of Rigs",4242,1981-09-01,1981,9,0.0269,-0.192192192192192
"106","TOTAL.OGNRPUS.M","Number of Rigs",4352,1981-10-01,1981,10,0.0259,-0.0371747211895911
"107","TOTAL.OGNRPUS.M","Number of Rigs",4436,1981-11-01,1981,11,0.0193,-0.254826254826255
"108","TOTAL.OGNRPUS.M","Number of Rigs",4521,1981-12-01,1981,12,0.0192,-0.00518134715025922
"109","TOTAL.OGNRPUS.M","Number of Rigs",4436,1982-01-01,1982,1,-0.0188,-1.97916666666667
"110","TOTAL.OGNRPUS.M","Number of Rigs",4160,1982-02-01,1982,2,-0.0622,2.30851063829787
"111","TOTAL.OGNRPUS.M","Number of Rigs",3816,1982-03-01,1982,3,-0.0827,0.329581993569132
"112","TOTAL.OGNRPUS.M","Number of Rigs",3460,1982-04-01,1982,4,-0.0933,0.128174123337364
"113","TOTAL.OGNRPUS.M","Number of Rigs",3178,1982-05-01,1982,5,-0.0815,-0.126473740621651
"114","TOTAL.OGNRPUS.M","Number of Rigs",2908,1982-06-01,1982,6,-0.085,0.0429447852760737
"115","TOTAL.OGNRPUS.M","Number of Rigs",2746,1982-07-01,1982,7,-0.0557,-0.344705882352941
"116","TOTAL.OGNRPUS.M","Number of Rigs",2620,1982-08-01,1982,8,-0.0459,-0.175942549371634
"117","TOTAL.OGNRPUS.M","Number of Rigs",2483,1982-09-01,1982,9,-0.0523,0.139433551198257
"118","TOTAL.OGNRPUS.M","Number of Rigs",2402,1982-10-01,1982,10,-0.0326,-0.376673040152964
"119","TOTAL.OGNRPUS.M","Number of Rigs",2500,1982-11-01,1982,11,0.0408,-2.25153374233129
"120","TOTAL.OGNRPUS.M","Number of Rigs",2696,1982-12-01,1982,12,0.0784,0.92156862745098
"121","TOTAL.OGNRPUS.M","Number of Rigs",2622,1983-01-01,1983,1,-0.0274,-1.34948979591837
"122","TOTAL.OGNRPUS.M","Number of Rigs",2192,1983-02-01,1983,2,-0.164,4.98540145985401
"123","TOTAL.OGNRPUS.M","Number of Rigs",2003,1983-03-01,1983,3,-0.0862,-0.474390243902439
"124","TOTAL.OGNRPUS.M","Number of Rigs",1846,1983-04-01,1983,4,-0.0784,-0.0904872389791184
"125","TOTAL.OGNRPUS.M","Number of Rigs",1926,1983-05-01,1983,5,0.0433,-1.55229591836735
"126","TOTAL.OGNRPUS.M","Number of Rigs",1979,1983-06-01,1983,6,0.0275,-0.364896073903002
"127","TOTAL.OGNRPUS.M","Number of Rigs",2039,1983-07-01,1983,7,0.0303,0.101818181818182
"128","TOTAL.OGNRPUS.M","Number of Rigs",2156,1983-08-01,1983,8,0.0574,0.894389438943894
"129","TOTAL.OGNRPUS.M","Number of Rigs",2252,1983-09-01,1983,9,0.0445,-0.224738675958188
