"","year","month","value","units","date"
"112",2006,3,308.214633550371,"Terawatthours",2006.16666666667
"113",2006,2,297.194239463109,"Terawatthours",2006.08333333333
"114",2006,1,317.815041421852,"Terawatthours",2006
"115",2005,12,336.616921407276,"Terawatthours",2005.91666666667
"116",2005,11,296.016234716445,"Terawatthours",2005.83333333333
"117",2005,10,305.959688117516,"Terawatthours",2005.75
"118",2005,9,338.663818689159,"Terawatthours",2005.66666666667
"119",2005,8,391.581344461838,"Terawatthours",2005.58333333333
"120",2005,7,389.002490610506,"Terawatthours",2005.5
"121",2005,6,351.673800260923,"Terawatthours",2005.41666666667
"122",2005,5,304.667943754418,"Terawatthours",2005.33333333333
"123",2005,4,280.009490816253,"Terawatthours",2005.25
"124",2005,3,306.985058205642,"Terawatthours",2005.16666666667
"125",2005,2,288.652537386244,"Terawatthours",2005.08333333333
"126",2005,1,331.801585228824,"Terawatthours",2005
"127",2004,12,330.666809659282,"Terawatthours",2004.91666666667
"128",2004,11,292.134679321315,"Terawatthours",2004.83333333333
"129",2004,10,302.142225121958,"Terawatthours",2004.75
"130",2004,9,324.549737012166,"Terawatthours",2004.66666666667
"131",2004,8,356.283920658209,"Terawatthours",2004.58333333333
"132",2004,7,364.883204262026,"Terawatthours",2004.5
"133",2004,6,333.70042954153,"Terawatthours",2004.41666666667
"134",2004,5,316.57971140566,"Terawatthours",2004.33333333333
"135",2004,4,280.974095983298,"Terawatthours",2004.25
"136",2004,3,298.624123017559,"Terawatthours",2004.16666666667
"137",2004,2,303.911549195882,"Terawatthours",2004.08333333333
"138",2004,1,335.112792824168,"Terawatthours",2004
"139",2003,12,320.738012248915,"Terawatthours",2003.91666666667
"140",2003,11,288.039837486638,"Terawatthours",2003.83333333333
"141",2003,10,296.621290408706,"Terawatthours",2003.75
"142",2003,9,312.475020582772,"Terawatthours",2003.66666666667
"143",2003,8,369.219873811366,"Terawatthours",2003.58333333333
"144",2003,7,362.044405779572,"Terawatthours",2003.5
"145",2003,6,317.849815070951,"Terawatthours",2003.41666666667
"146",2003,5,297.39872031732,"Terawatthours",2003.33333333333
"147",2003,4,276.328377078108,"Terawatthours",2003.25
"148",2003,3,294.277578370761,"Terawatthours",2003.16666666667
"149",2003,2,289.376304088989,"Terawatthours",2003.08333333333
"150",2003,1,330.70639514592,"Terawatthours",2003
"151",2002,12,314.117164580061,"Terawatthours",2002.91666666667
"152",2002,11,286.514717068863,"Terawatthours",2002.83333333333
"153",2002,10,296.929309899809,"Terawatthours",2002.75
"154",2002,9,320.350244480072,"Terawatthours",2002.66666666667
"155",2002,8,362.227918974345,"Terawatthours",2002.58333333333
"156",2002,7,368.954711198861,"Terawatthours",2002.5
"157",2002,6,329.772502189535,"Terawatthours",2002.41666666667
"158",2002,5,297.524123998143,"Terawatthours",2002.33333333333
"159",2002,4,280.285912316312,"Terawatthours",2002.25
"160",2002,3,292.567658636041,"Terawatthours",2002.16666666667
"161",2002,2,272.528038847619,"Terawatthours",2002.08333333333
"162",2002,1,309.386331463347,"Terawatthours",2002
"163",2001,12,295.417745016324,"Terawatthours",2001.91666666667
"164",2001,11,269.731674660764,"Terawatthours",2001.83333333333
"165",2001,10,285.010101113143,"Terawatthours",2001.75
"166",2001,9,296.803022372621,"Terawatthours",2001.66666666667
"167",2001,8,358.308635717158,"Terawatthours",2001.58333333333
"168",2001,7,345.815720707924,"Terawatthours",2001.5
"169",2001,6,316.883075714707,"Terawatthours",2001.41666666667
"170",2001,5,290.578147545263,"Terawatthours",2001.33333333333
"171",2001,4,268.904813178328,"Terawatthours",2001.25
"172",2001,3,290.785980053194,"Terawatthours",2001.16666666667
"173",2001,2,273.605760877205,"Terawatthours",2001.08333333333
"174",2001,1,321.523928629846,"Terawatthours",2001
"175",2000,12,308.486361188008,"Terawatthours",2000.91666666667
"176",2000,11,275.278761169519,"Terawatthours",2000.83333333333
"177",2000,10,279.902639206007,"Terawatthours",2000.75
"178",2000,9,302.138767097232,"Terawatthours",2000.66666666667
"179",2000,8,356.506649942124,"Terawatthours",2000.58333333333
"180",2000,7,344.765758610058,"Terawatthours",2000.5
"181",2000,6,327.867992170209,"Terawatthours",2000.41666666667
"182",2000,5,312.299165133472,"Terawatthours",2000.33333333333
"183",2000,4,276.156296832536,"Terawatthours",2000.25
"184",2000,3,291.630446904248,"Terawatthours",2000.16666666667
"185",2000,2,284.464387871501,"Terawatthours",2000.08333333333
"186",2000,1,317.173145581935,"Terawatthours",2000
"187",1999,12,285.436188553645,"Terawatthours",1999.91666666667
"188",1999,11,262.15199583651,"Terawatthours",1999.83333333333
"189",1999,10,274.567587826958,"Terawatthours",1999.75
"190",1999,9,295.436433435192,"Terawatthours",1999.66666666667
"191",1999,8,352.021678902255,"Terawatthours",1999.58333333333
"192",1999,7,364.115989838091,"Terawatthours",1999.5
"193",1999,6,318.07235675509,"Terawatthours",1999.41666666667
"194",1999,5,290.197696167662,"Terawatthours",1999.33333333333
"195",1999,4,271.457854654372,"Terawatthours",1999.25
"196",1999,3,288.308670865883,"Terawatthours",1999.16666666667
"197",1999,2,265.753719090302,"Terawatthours",1999.08333333333
"198",1999,1,305.394728492725,"Terawatthours",1999
"199",1998,12,288.155364135985,"Terawatthours",1998.91666666667
"200",1998,11,258.32335131413,"Terawatthours",1998.83333333333
"201",1998,10,275.061447136854,"Terawatthours",1998.75
"202",1998,9,308.402877353915,"Terawatthours",1998.66666666667
"203",1998,8,345.575815407455,"Terawatthours",1998.58333333333
"204",1998,7,349.995869188945,"Terawatthours",1998.5
"205",1998,6,318.052212987449,"Terawatthours",1998.41666666667
"206",1998,5,289.754533279558,"Terawatthours",1998.33333333333
"207",1998,4,252.61141778826,"Terawatthours",1998.25
"208",1998,3,277.413640812069,"Terawatthours",1998.16666666667
"209",1998,2,251.992835571984,"Terawatthours",1998.08333333333
"210",1998,1,285.519512831228,"Terawatthours",1998
"211",1997,12,286.579057989787,"Terawatthours",1997.91666666667
"212",1997,11,262.176310314623,"Terawatthours",1997.83333333333
"213",1997,10,275.569206236297,"Terawatthours",1997.75
"214",1997,9,291.124557033495,"Terawatthours",1997.66666666667
"215",1997,8,321.916021830625,"Terawatthours",1997.58333333333
"216",1997,7,333.150564929599,"Terawatthours",1997.5
"217",1997,6,289.224276712198,"Terawatthours",1997.41666666667
"218",1997,5,263.910125812492,"Terawatthours",1997.33333333333
"219",1997,4,249.763457861102,"Terawatthours",1997.25
"220",1997,3,263.276197160977,"Terawatthours",1997.16666666667
"221",1997,2,249.615067405731,"Terawatthours",1997.08333333333
"222",1997,1,290.657713058273,"Terawatthours",1997
"223",1996,12,274.871977165705,"Terawatthours",1996.91666666667
"224",1996,11,260.243470795185,"Terawatthours",1996.83333333333
"225",1996,10,262.491243921162,"Terawatthours",1996.75
"226",1996,9,273.809862663829,"Terawatthours",1996.66666666667
"227",1996,8,318.422894671589,"Terawatthours",1996.58333333333
"228",1996,7,316.897081875262,"Terawatthours",1996.5
"229",1996,6,292.730011736555,"Terawatthours",1996.41666666667
"230",1996,5,272.954205582871,"Terawatthours",1996.33333333333
"231",1996,4,243.31195283491,"Terawatthours",1996.25
"232",1996,3,265.945907324175,"Terawatthours",1996.16666666667
"233",1996,2,261.755111105384,"Terawatthours",1996.08333333333
"234",1996,1,287.127230335703,"Terawatthours",1996
"235",1995,12,276.13321722511,"Terawatthours",1995.91666666667
"236",1995,11,252.852004830181,"Terawatthours",1995.83333333333
"237",1995,10,255.269567357049,"Terawatthours",1995.75
"238",1995,9,268.417910532271,"Terawatthours",1995.66666666667
"239",1995,8,334.372500902029,"Terawatthours",1995.58333333333
"240",1995,7,319.515387765969,"Terawatthours",1995.5
"241",1995,6,276.814236321291,"Terawatthours",1995.41666666667
"242",1995,5,255.569148726294,"Terawatthours",1995.33333333333
"243",1995,4,236.661877314443,"Terawatthours",1995.25
"244",1995,3,252.720649208029,"Terawatthours",1995.16666666667
"245",1995,2,243.983322146765,"Terawatthours",1995.08333333333
"246",1995,1,270.543149093577,"Terawatthours",1995
"247",1994,12,260.628083213166,"Terawatthours",1994.91666666667
"248",1994,11,243.558997563947,"Terawatthours",1994.83333333333
"249",1994,10,248.06539752662,"Terawatthours",1994.75
"250",1994,9,257.478106987719,"Terawatthours",1994.66666666667
"251",1994,8,297.456447862655,"Terawatthours",1994.58333333333
"252",1994,7,300.988196400204,"Terawatthours",1994.5
"253",1994,6,284.457135302862,"Terawatthours",1994.41666666667
"254",1994,5,244.406666182303,"Terawatthours",1994.33333333333
"255",1994,4,232.697776084098,"Terawatthours",1994.25
"256",1994,3,249.486477429753,"Terawatthours",1994.16666666667
"257",1994,2,240.951884804172,"Terawatthours",1994.08333333333
"258",1994,1,280.208700503578,"Terawatthours",1994
"259",1993,12,263.185629984847,"Terawatthours",1993.91666666667
"260",1993,11,243.785074633546,"Terawatthours",1993.83333333333
"261",1993,10,242.286842872246,"Terawatthours",1993.75
"262",1993,9,255.321825498621,"Terawatthours",1993.66666666667
"263",1993,8,301.17518405886,"Terawatthours",1993.58333333333
"264",1993,7,301.924272863253,"Terawatthours",1993.5
"265",1993,6,266.275253235113,"Terawatthours",1993.41666666667
"266",1993,5,236.265074779095,"Terawatthours",1993.33333333333
"267",1993,4,226.952335691118,"Terawatthours",1993.25
"268",1993,3,252.628772701507,"Terawatthours",1993.16666666667
"269",1993,2,239.833091961891,"Terawatthours",1993.08333333333
"270",1993,1,262.07969256223,"Terawatthours",1993
"271",1992,12,258.522925563906,"Terawatthours",1992.91666666667
"272",1992,11,236.106887554007,"Terawatthours",1992.83333333333
"273",1992,10,236.911367609625,"Terawatthours",1992.75
"274",1992,9,251.34988762611,"Terawatthours",1992.66666666667
"275",1992,8,272.626404952558,"Terawatthours",1992.58333333333
"276",1992,7,283.930079535794,"Terawatthours",1992.5
"277",1992,6,252.463776764982,"Terawatthours",1992.41666666667
"278",1992,5,234.414552880713,"Terawatthours",1992.33333333333
"279",1992,4,225.70531550129,"Terawatthours",1992.25
"280",1992,3,239.560235824574,"Terawatthours",1992.16666666667
"281",1992,2,231.612259960748,"Terawatthours",1992.08333333333
"282",1992,1,258.938622491071,"Terawatthours",1992
"283",1991,12,245.706033478544,"Terawatthours",1991.91666666667
"284",1991,11,233.688751590713,"Terawatthours",1991.83333333333
"285",1991,10,237.283005665816,"Terawatthours",1991.75
"286",1991,9,247.580769286087,"Terawatthours",1991.66666666667
"287",1991,8,282.520020635965,"Terawatthours",1991.58333333333
"288",1991,7,284.927152035111,"Terawatthours",1991.5
"289",1991,6,260.221441359698,"Terawatthours",1991.41666666667
"290",1991,5,246.464540952077,"Terawatthours",1991.33333333333
"291",1991,4,220.283689726899,"Terawatthours",1991.25
"292",1991,3,232.624897439373,"Terawatthours",1991.16666666667
"293",1991,2,220.758645941896,"Terawatthours",1991.08333333333
"294",1991,1,260.332704465695,"Terawatthours",1991
"295",1990,12,247.331771198564,"Terawatthours",1990.91666666667
